kasahara,fast,0.007808516483579104
kasahara,slow,0.009693809523936999
kasahara,normal,0.005403035714196053
hasimoto,fast,0.0014157142856993461
hasimoto,slow,0.0006899999999835564
hasimoto,normal,0.007564285714256819
okada,fast,0.0046194505494578835
okada,slow,0.006279999999954015
okada,normal,0.0020279999999818195
ando,fast,0.0038019444444686405
ando,slow,0.01828600000004377
ando,normal,0.009549523809527012
kisitani,fast,0.014821000000023597
kisitani,slow,0.019403666666708418
kisitani,normal,0.018793000000088097
